,,,,,
Rank,Name,Symbol,marketcap,price (USD),country
1,TSMC,TSM,475174862848,91.63,Taiwan
2,NVIDIA,NVDA,465380999168,186.75,United States
3,Samsung,005930.KS,351792340458,51.79,South Korea
4,Broadcom,AVGO,236843794432,580.1,United States
5,ASML,ASML,229711347712,551,Netherlands
6,Intel,INTC,181142700032,44.3,United States
7,QUALCOMM,QCOM,157449601024,140.58,United States
8,AMD,AMD,155213520000,95.34,United States
9,Texas Instruments,TXN,154411335680,167.45,United States
10,Applied Materials,AMAT,99381936128,112.5,United States
11,Analog Devices,ADI,81705172992,156.13,United States
12,Micron Technology,MU,78557732864,70.35,United States
13,Lam Research,LRCX,66337681408,478.23,United States
14,Tokyo Electron,8035.T,64320928623,413.5,Japan
15,SK Hynix,000660.KS,57924360087,84.24,South Korea
16,KLA,KLAC,49449021440,331.35,United States
17,Marvell Technology Group,MRVL,48960450560,57.75,United States
18,NXP Semiconductors,NXPI,46626291712,177.58,Netherlands
19,MediaTek,2454.TW,43390271708,27.27,Taiwan
20,Synopsys,SNPS,42057826304,274.71,United States
21,Microchip Technology,MCHP,37562748928,67.56,United States
22,Infineon,IFX.DE,35703153319,27.43,Germany
23,STMicroelectronics,STM,33691320320,36.57,Switzerland
24,GlobalFoundries,GFS,29980160000,56.37,United States
25,ON Semiconductor,ON,23954315264,55.13,United States
26,SMIC,MKN2.F,23751620032,1.9,China
27,United Microelectronics,UMC,20447895552,8.08,Taiwan
28,Renesas Electronics,6723.T,20432646181,10.49,Japan
29,Skyworks Solutions,SWKS,17090242560,105.71,United States
30,Entegris,ENTG,15634698240,115.06,United States
31,ASE Group,ASX,13934459904,6.51,Taiwan
32,ASM International,ASM.AS,13665599326,281.71,Netherlands
33,Lasertec,6920.T,12037476966,133.49,Japan
34,Qorvo,QRVO,11615236096,107.12,United States
35,Wolfspeed,WOLF,9999598592,80.88,United States
36,AMEC,688012.SS,9286721465,15.07,China
37,Disco Corp.,6146.T,8533914569,236.46,Japan
38,Silergy,6415.TW,7733179567,81.67,China
39,Novatek Microelectronics,3034.TW,7715084847,12.68,Taiwan
40,GlobalWafers,6488.TWO,7707960604,17.71,Taiwan
41,Realtek,2379.TW,7018465324,13.68,Taiwan
42,Rohm,6963.T,6909193221,70.4,Japan
43,Nanya Technology,2408.TW,6762570140,2.18,Taiwan
44,Lattice Semiconductor,LSCC,6584686592,47.85,United States
45,Soitec,SOI.PA,5760222585,165.08,France
46,Power Integrations,POWI,4863437312,83.41,United States
47,Allegro MicroSystems,ALGM,4802925056,25.29,United States
48,ASM Pacific Technology,0522.HK,4100909375,9.94,Hong Kong
49,BE Semiconductor,BESI.AS,4027394053,51.83,Netherlands
50,SiTime,SITM,3981127424,189.2,United States
51,Onto Innovation,ONTO,3554206464,71.72,United States
52,Nordic Semiconductor,NOD.OL,3330795540,17.44,Norway
53,Kulicke and Soffa Industries,KLIC,3210962688,51.54,Singapore
54,Silicon Motion,SIMO,3191565568,92.68,Hong Kong
55,Ambarella,AMBA,2931848448,76.99,United States
56,Formosa Sumco Technology,3532.TW,2627802393,6.78,Taiwan
57,Axcelis Technologies,ACLS,1931221504,58.2,United States
58,Xperi,XPER,1659398400,15.84,United States
59,Credo Technology,CRDO,1550850816,10.71,United States
60,Himax,HIMX,1530345216,8.78,Taiwan
61,BrainChip,BRN.AX,1464283998,0.85,Australia
62,Cohu,COHU,1376836992,28.31,United States
63,Veeco,VECO,1189105280,23.51,United States
64,SMART Global Holdings,SGH,1157524608,23.26,United States
65,Alpha &amp; Omega Semiconductor,AOSL,1029303232,38.54,United States
66,Photronics,PLAB,943842496,15.29,United States
67,Ichor Systems,ICHR,921689600,32.2,United States
68,PDF Solutions,PDFS,886901440,23.59,United States
69,Navitas Semiconductor,NVTS,852683136,6.94,Ireland
70,CEVA,CEVA,835122816,35.99,United States
71,Magnachip,MX,790141440,17.6,Luxembourg
72,indie Semiconductor,INDI,785877120,6.72,United States
73,nLIGHT,LASR,592368704,13.3,United States
74,Rockley Photonics,RKLY,423574336,3.29,United Kingdom
75,Valens Semiconductor,VLN,328962272,3.35,Israel
76,Arteris,AIP,316035328,9.92,United States
77,AXT Inc,AXTI,246390000,5.73,United States
78,SkyWater Technology,SKYT,243418672,6.1,United States
79,Aehr Test Systems,AEHR,208382464,7.74,United States
80,Pixelworks,PXLW,113932608,2.11,United States
81,Quicklogic,QUIK,64160336,5.19,United States
