"CountryName","CountryCode","2017","2018","2019","2020","region","income"
"Afghanistan","AFG",36296111,37171922,38041757,38928341,"southasia","low"
"Albania","ALB",2873457,2866376,2854191,2837743,"europecentralasia","uppermiddle"
"Algeria","DZA",41389174,42228415,43053054,43851043,"middleeastnafrica","lowermiddle"
"American Samoa","ASM",55617,55461,55312,55197,"eastasia_pacific","uppermiddle"
"Andorra","AND",76997,77008,77146,77265,"europecentralasia","high"
"Angola","AGO",29816769,30809787,31825299,32866268,"subsaharianafrica","lowermiddle"
"Antigua and Barbuda","ATG",95425,96282,97115,97928,"latinamericacaribbean","high"
"Argentina","ARG",44044811,44494502,44938712,45376763,"latinamericacaribbean","uppermiddle"
"Armenia","ARM",2944789,2951741,2957728,2963234,"europecentralasia","uppermiddle"
"Aruba","ABW",105361,105846,106310,106766,"latinamericacaribbean","high"
"Australia","AUS",24601860,24982688,25365745,25687041,"eastasia_pacific","high"
"Austria","AUT",8797566,8840521,8879920,8917205,"europecentralasia","high"
"Azerbaijan","AZE",9854033,9939771,10024283,10093121,"europecentralasia","uppermiddle"
"Bahamas, The","BHS",381749,385635,389486,393248,"latinamericacaribbean","high"
"Bahrain","BHR",1494077,1569440,1641164,1701583,"middleeastnafrica","high"
"Bangladesh","BGD",159685421,161376713,163046173,164689383,"southasia","lowermiddle"
"Barbados","BRB",286229,286640,287021,287371,"latinamericacaribbean","high"
"Belarus","BLR",9458989,9438785,9419758,9379952,"europecentralasia","uppermiddle"
"Belgium","BEL",11375158,11427054,11488980,11555997,"europecentralasia","high"
"Belize","BLZ",375775,383071,390351,397621,"latinamericacaribbean","lowermiddle"
"Benin","BEN",11175192,11485035,11801151,12123198,"subsaharianafrica","lowermiddle"
"Bermuda","BMU",63873,63919,63913,63903,"northamerica","high"
"Bhutan","BTN",745563,754396,763094,771612,"southasia","lowermiddle"
"Bolivia","BOL",11192853,11353140,11513102,11673029,"latinamericacaribbean","lowermiddle"
"Bosnia and Herzegovina","BIH",3351534,3323929,3300998,3280815,"europecentralasia","uppermiddle"
"Botswana","BWA",2205076,2254067,2303703,2351625,"subsaharianafrica","uppermiddle"
"Brazil","BRA",207833825,209469320,211049519,212559409,"latinamericacaribbean","uppermiddle"
"British Virgin Islands","VGB",29567,29795,30033,30237,"latinamericacaribbean","high"
"Brunei Darussalam","BRN",424481,428960,433296,437483,"eastasia_pacific","high"
"Bulgaria","BGR",7075947,7025037,6975761,6934015,"europecentralasia","uppermiddle"
"Burkina Faso","BFA",19193236,19751466,20321383,20903278,"subsaharianafrica","low"
"Burundi","BDI",10827010,11175379,11530577,11890781,"subsaharianafrica","low"
"Cabo Verde","CPV",537499,543764,549936,555988,"subsaharianafrica","lowermiddle"
"Cambodia","KHM",16009413,16249795,16486542,16718971,"eastasia_pacific","lowermiddle"
"Cameroon","CMR",24566070,25216261,25876387,26545864,"subsaharianafrica","lowermiddle"
"Canada","CAN",36545295,37065178,37593384,38005238,"northamerica","high"
"Cayman Islands","CYM",63382,64172,64948,65720,"latinamericacaribbean","high"
"Central African Republic","CAF",4596023,4666375,4745179,4829764,"subsaharianafrica","low"
"Chad","TCD",15016761,15477727,15946882,16425859,"subsaharianafrica","low"
"Channel Islands","CHI",168666,170496,172264,173859,"europecentralasia","high"
"Chile","CHL",18470435,18729166,18952035,19116209,"latinamericacaribbean","high"
"China","CHN",1396215000,1402760000,1407745000,1410929362,"eastasia_pacific","uppermiddle"
"Colombia","COL",48909844,49661056,50339443,50882884,"latinamericacaribbean","uppermiddle"
"Comoros","COM",813890,832322,850891,869595,"subsaharianafrica","lowermiddle"
"Congo, Dem. Rep.","COD",81398765,84068092,86790568,89561404,"subsaharianafrica","low"
"Congo, Rep.","COG",5110701,5244363,5380504,5518092,"subsaharianafrica","lowermiddle"
"Costa Rica","CRI",4949955,4999443,5047561,5094114,"latinamericacaribbean","uppermiddle"
"Cote d'Ivoire","CIV",24437475,25069226,25716554,26378275,"subsaharianafrica","lowermiddle"
"Croatia","HRV",4124531,4087843,4065253,4047200,"europecentralasia","high"
"Cuba","CUB",11339255,11338146,11333484,11326616,"latinamericacaribbean","uppermiddle"
"Curacao","CUW",160175,159336,157441,155014,"latinamericacaribbean","high"
"Cyprus","CYP",1179685,1189262,1198574,1207361,"europecentralasia","high"
"Czech Republic","CZE",10594438,10629928,10671870,10698896,"europecentralasia","high"
"Denmark","DNK",5764980,5793636,5814422,5831404,"europecentralasia","high"
"Djibouti","DJI",944100,958923,973557,988002,"middleeastnafrica","lowermiddle"
"Dominica","DMA",71460,71626,71808,71991,"latinamericacaribbean","uppermiddle"
"Dominican Republic","DOM",10513111,10627147,10738957,10847904,"latinamericacaribbean","uppermiddle"
"Ecuador","ECU",16785356,17084359,17373657,17643060,"latinamericacaribbean","uppermiddle"
"Egypt, Arab Rep.","EGY",96442590,98423602,100388076,102334403,"middleeastnafrica","lowermiddle"
"El Salvador","SLV",6388124,6420740,6453550,6486201,"latinamericacaribbean","lowermiddle"
"Equatorial Guinea","GNQ",1262008,1308966,1355982,1402985,"subsaharianafrica","uppermiddle"
"Eritrea","ERI",3412894,3452797,3497117,3546427,"subsaharianafrica","low"
"Estonia","EST",1317384,1321977,1326898,1331057,"europecentralasia","high"
"Eswatini","SWZ",1124808,1136274,1148133,1160164,"subsaharianafrica","lowermiddle"
"Ethiopia","ETH",106399926,109224410,112078727,114963583,"subsaharianafrica","low"
"Faroe Islands","FRO",48326,48497,48677,48865,"europecentralasia","high"
"Fiji","FJI",877460,883490,889955,896444,"eastasia_pacific","uppermiddle"
"Finland","FIN",5508214,5515525,5521606,5530719,"europecentralasia","high"
"France","FRA",66918020,67101930,67248926,67391582,"europecentralasia","high"
"French Polynesia","PYF",276108,277673,279285,280904,"eastasia_pacific","high"
"Gabon","GAB",2064812,2119275,2172578,2225728,"subsaharianafrica","uppermiddle"
"Gambia, The","GMB",2213900,2280092,2347696,2416664,"subsaharianafrica","low"
"Georgia","GEO",3728004,3726549,3720161,3714000,"europecentralasia","uppermiddle"
"Germany","DEU",82657002,82905782,83092962,83240525,"europecentralasia","high"
"Ghana","GHA",29121464,29767108,30417858,31072945,"subsaharianafrica","lowermiddle"
"Gibraltar","GIB",33723,33715,33706,33691,"europecentralasia","high"
"Greece","GRC",10754679,10732882,10721582,10715549,"europecentralasia","high"
