Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,6,1,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,281122,Silicon dioxide,8,Weight in kilograms,5240,,,,5240,,19917,,,0
H5,2018,2018,2018,6,1,1,Import,8,Albania,ALB,276,Germany,DEU,,,,,,,,281122,Silicon dioxide,8,Weight in kilograms,5200,,,,5200,,19867,,,0
H5,2018,2018,2018,6,1,1,Import,8,Albania,ALB,381,Italy,ITA,,,,,,,,281122,Silicon dioxide,8,Weight in kilograms,40,,,,40,,49,,,0
H5,2018,2018,2018,6,1,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,281122,Silicon dioxide,8,Weight in kilograms,154,,,,154,,190,,,0
H5,2018,2018,2018,6,1,1,Import,20,Andorra,AND,156,China,CHN,,,,,,,,281122,Silicon dioxide,8,Weight in kilograms,68,,,,68,,112,,,0
H5,2018,2018,2018,6,1,1,Import,20,Andorra,AND,251,France,FRA,,,,,,,,281122,Silicon dioxide,8,Weight in kilograms,6,,,,6,,26,,,0
H5,2018,2018,2018,6,1,1,Import,20,Andorra,AND,276,Germany,DEU,,,,,,,,281122,Silicon dioxide,8,Weight in kilograms,80,,,,80,,52,,,0
H5,2018,2018,2018,6,1,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,281122,Silicon dioxide,8,Weight in kilograms,80955,,,,80955,,215299,,,0
H5,2018,2018,2018,6,1,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,281122,Silicon dioxide,8,Weight in kilograms,2779,,,,,,8908,,,6
H5,2018,2018,2018,6,1,1,Import,24,Angola,AGO,76,Brazil,BRA,,,,,,,,281122,Silicon dioxide,8,Weight in kilograms,304,,,,304,,384,,,0
H5,2018,2018,2018,6,1,1,Import,24,Angola,AGO,156,China,CHN,,,,,,,,281122,Silicon dioxide,8,Weight in kilograms,3061,,,,3061,,756,,,0
