Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,381800,"Chemical elements; doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",8,Weight in kilograms,77519,,,,77519,,3818415,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,124,Canada,CAN,,,,,,,,381800,"Chemical elements; doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",8,Weight in kilograms,2,,,,2,,3570,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,156,China,CHN,,,,,,,,381800,"Chemical elements; doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",8,Weight in kilograms,3,,,,3,,33075,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,372,Ireland,IRL,,,,,,,,381800,"Chemical elements; doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",8,Weight in kilograms,1,,,,1,,3643,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,392,Japan,JPN,,,,,,,,381800,"Chemical elements; doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",8,Weight in kilograms,31059,,,,31059,,3537559,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,490,"Other Asia, nes",,,,,,,,,381800,"Chemical elements; doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",8,Weight in kilograms,12,,,,12,,13128,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,528,Netherlands,NLD,,,,,,,,381800,"Chemical elements; doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",8,Weight in kilograms,29,,,,29,,2582,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,540,New Caledonia,NCL,,,,,,,,381800,"Chemical elements; doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",8,Weight in kilograms,41340,,,,41340,,13188,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,554,New Zealand,NZL,,,,,,,,381800,"Chemical elements; doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",8,Weight in kilograms,4692,,,,4692,,107837,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,620,Portugal,PRT,,,,,,,,381800,"Chemical elements; doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",8,Weight in kilograms,113,,,,113,,12881,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,702,Singapore,SGP,,,,,,,,381800,"Chemical elements; doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",8,Weight in kilograms,0,,,,0,,344,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,764,Thailand,THA,,,,,,,,381800,"Chemical elements; doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",8,Weight in kilograms,2,,,,2,,62048,,,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,784,United Arab Emirates,ARE,,,,,,,,381800,"Chemical elements; doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",8,Weight in kilograms,160,,,,160,,15323,,,0
