Country Name,Country Code,Series Name,Series Code,2016,2017,2018,2019,2020
Afghanistan,AFG,"Population, total",SP.POP.TOTL,35383028,36296111,37171922,38041757,38928341
Albania,ALB,"Population, total",SP.POP.TOTL,2876101,2873457,2866376,2854191,2837743
Algeria,DZA,"Population, total",SP.POP.TOTL,40551398,41389174,42228415,43053054,43851043
American Samoa,ASM,"Population, total",SP.POP.TOTL,55739,55617,55461,55312,55197
Andorra,AND,"Population, total",SP.POP.TOTL,77295,76997,77008,77146,77265
Angola,AGO,"Population, total",SP.POP.TOTL,28842482,29816769,30809787,31825299,32866268
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,94520,95425,96282,97115,97928
Argentina,ARG,"Population, total",SP.POP.TOTL,43590368,44044811,44494502,44938712,45376763
Armenia,ARM,"Population, total",SP.POP.TOTL,2936147,2944789,2951741,2957728,2963234
Aruba,ABW,"Population, total",SP.POP.TOTL,104865,105361,105846,106310,106766
Australia,AUS,"Population, total",SP.POP.TOTL,24190907,24601860,24982688,25365745,25687041
Austria,AUT,"Population, total",SP.POP.TOTL,8736668,8797566,8840521,8879920,8917205
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9757812,9854033,9939771,10024283,10093121
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,377923,381749,385635,389486,393248
Bahrain,BHR,"Population, total",SP.POP.TOTL,1425793,1494077,1569440,1641164,1701583
Bangladesh,BGD,"Population, total",SP.POP.TOTL,157977151,159685421,161376713,163046173,164689383
Barbados,BRB,"Population, total",SP.POP.TOTL,285798,286229,286640,287021,287371
Belarus,BLR,"Population, total",SP.POP.TOTL,9469379,9458989,9438785,9419758,9379952
Belgium,BEL,"Population, total",SP.POP.TOTL,11331422,11375158,11427054,11488980,11555997
Belize,BLZ,"Population, total",SP.POP.TOTL,368399,375775,383071,390351,397621
Benin,BEN,"Population, total",SP.POP.TOTL,10872072,11175192,11485035,11801151,12123198
Bermuda,BMU,"Population, total",SP.POP.TOTL,64554,63873,63919,63913,63903
Bhutan,BTN,"Population, total",SP.POP.TOTL,736706,745563,754396,763094,771612
Bolivia,BOL,"Population, total",SP.POP.TOTL,11031822,11192853,11353140,11513102,11673029
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3386263,3351534,3323929,3300998,3280815
Botswana,BWA,"Population, total",SP.POP.TOTL,2159925,2205076,2254067,2303703,2351625
Brazil,BRA,"Population, total",SP.POP.TOTL,206163056,207833825,209469320,211049519,212559409
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,29355,29567,29795,30033,30237
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,419791,424481,428960,433296,437483
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7127822,7075947,7025037,6975761,6934015
