CountryName,CountryCode,2020
American Samoa,ASM,55197
Australia,AUS,25687041
Brunei Darussalam,BRN,437483
Cambodia,KHM,16718971
China,CHN,1410929362
Fiji,FJI,896444
French Polynesia,PYF,280904
Guam,GUM,168783
"Hong Kong SAR, China",HKG,7481800
Indonesia,IDN,273523621
Japan,JPN,125836021
Kiribati,KIR,119446
"Korea, Dem. People's Rep.",PRK,25778815
"Korea, Rep.",KOR,51780579
Lao PDR,LAO,7275556
"Macao SAR, China",MAC,649342
Malaysia,MYS,32365998
Marshall Islands,MHL,59194
"Micronesia, Fed. Sts.",FSM,115021
Mongolia,MNG,3278292
Myanmar,MMR,54409794
Nauru,NRU,10834
New Caledonia,NCL,271960
New Zealand,NZL,5084300
Northern Mariana Islands,MNP,57557
Palau,PLW,18092
Papua New Guinea,PNG,8947027
Philippines,PHL,109581085
Samoa,WSM,198410
Singapore,SGP,5685807
Solomon Islands,SLB,686878
Thailand,THA,69799978
Timor-Leste,TLS,1318442
Tonga,TON,105697
Tuvalu,TUV,11792
Vanuatu,VUT,307150
Vietnam,VNM,97338583
