CountryName,CountryCode,2020
Albania,ALB,2837743
Andorra,AND,77265
Armenia,ARM,2963234
Austria,AUT,8917205
Azerbaijan,AZE,10093121
Belarus,BLR,9379952
Belgium,BEL,11555997
Bosnia and Herzegovina,BIH,3280815
Bulgaria,BGR,6934015
Channel Islands,CHI,173859
Croatia,HRV,4047200
Cyprus,CYP,1207361
Czech Republic,CZE,10698896
Denmark,DNK,5831404
Estonia,EST,1331057
Faroe Islands,FRO,48865
Finland,FIN,5530719
France,FRA,67391582
Georgia,GEO,3714000
Germany,DEU,83240525
Gibraltar,GIB,33691
Greece,GRC,10715549
Greenland,GRL,56367
Hungary,HUN,9749763
Iceland,ISL,366425
Ireland,IRL,4994724
Isle of Man,IMN,85032
Italy,ITA,59554023
Kazakhstan,KAZ,18754440
Kosovo,XKX,1775378
Kyrgyz Republic,KGZ,6591600
Latvia,LVA,1901548
Liechtenstein,LIE,38137
Lithuania,LTU,2794700
Luxembourg,LUX,632275
Moldova,MDA,2620495
Monaco,MCO,39244
Montenegro,MNE,621306
Netherlands,NLD,17441139
North Macedonia,MKD,2072531
Norway,NOR,5379475
Poland,POL,37950802
Portugal,PRT,10305564
Romania,ROU,19286123
Russian Federation,RUS,144104080
San Marino,SMR,33938
Serbia,SRB,6908224
Slovak Republic,SVK,5458827
Slovenia,SVN,2100126
Spain,ESP,47351567
Sweden,SWE,10353442
Switzerland,CHE,8636896
Tajikistan,TJK,9537642
Turkey,TUR,84339067
Turkmenistan,TKM,6031187
Ukraine,UKR,44134693
United Kingdom,GBR,67215293
Uzbekistan,UZB,34232050
