CountryName,CountryCode,2020
Andorra,AND,77265
Antigua and Barbuda,ATG,97928
Aruba,ABW,106766
Australia,AUS,25687041
Austria,AUT,8917205
"Bahamas, The",BHS,393248
Bahrain,BHR,1701583
Barbados,BRB,287371
Belgium,BEL,11555997
Bermuda,BMU,63903
British Virgin Islands,VGB,30237
Brunei Darussalam,BRN,437483
Canada,CAN,38005238
Cayman Islands,CYM,65720
Channel Islands,CHI,173859
Chile,CHL,19116209
Croatia,HRV,4047200
Curacao,CUW,155014
Cyprus,CYP,1207361
Czech Republic,CZE,10698896
Denmark,DNK,5831404
Estonia,EST,1331057
Faroe Islands,FRO,48865
Finland,FIN,5530719
France,FRA,67391582
French Polynesia,PYF,280904
Germany,DEU,83240525
Gibraltar,GIB,33691
Greece,GRC,10715549
Greenland,GRL,56367
Guam,GUM,168783
"Hong Kong SAR, China",HKG,7481800
Hungary,HUN,9749763
Iceland,ISL,366425
Ireland,IRL,4994724
Isle of Man,IMN,85032
Israel,ISR,9216900
Italy,ITA,59554023
Japan,JPN,125836021
"Korea, Rep.",KOR,51780579
Kuwait,KWT,4270563
Latvia,LVA,1901548
Liechtenstein,LIE,38137
Lithuania,LTU,2794700
Luxembourg,LUX,632275
"Macao SAR, China",MAC,649342
Malta,MLT,525285
Monaco,MCO,39244
Nauru,NRU,10834
Netherlands,NLD,17441139
New Caledonia,NCL,271960
New Zealand,NZL,5084300
Northern Mariana Islands,MNP,57557
Norway,NOR,5379475
Oman,OMN,5106622
Palau,PLW,18092
Poland,POL,37950802
Portugal,PRT,10305564
Puerto Rico,PRI,3194034
Qatar,QAT,2881060
San Marino,SMR,33938
Saudi Arabia,SAU,34813867
Seychelles,SYC,98462
Singapore,SGP,5685807
Sint Maarten (Dutch part),SXM,40812
Slovak Republic,SVK,5458827
Slovenia,SVN,2100126
Spain,ESP,47351567
St. Kitts and Nevis,KNA,53192
St. Martin (French part),MAF,38659
Sweden,SWE,10353442
Switzerland,CHE,8636896
Trinidad and Tobago,TTO,1399491
Turks and Caicos Islands,TCA,38718
United Arab Emirates,ARE,9890400
United Kingdom,GBR,67215293
United States,USA,329484123
Uruguay,URY,3473727
Virgin Islands (U.S.),VIR,106290
