CountryName,CountryCode,2020
Antigua and Barbuda,ATG,97928
Argentina,ARG,45376763
Aruba,ABW,106766
"Bahamas, The",BHS,393248
Barbados,BRB,287371
Belize,BLZ,397621
Bolivia,BOL,11673029
Brazil,BRA,212559409
British Virgin Islands,VGB,30237
Cayman Islands,CYM,65720
Chile,CHL,19116209
Colombia,COL,50882884
Costa Rica,CRI,5094114
Cuba,CUB,11326616
Curacao,CUW,155014
Dominica,DMA,71991
Dominican Republic,DOM,10847904
Ecuador,ECU,17643060
El Salvador,SLV,6486201
Grenada,GRD,112519
Guatemala,GTM,16858333
Guyana,GUY,786559
Haiti,HTI,11402533
Honduras,HND,9904608
Jamaica,JAM,2961161
Mexico,MEX,128932753
Nicaragua,NIC,6624554
Panama,PAN,4314768
Paraguay,PRY,7132530
Peru,PER,32971846
Puerto Rico,PRI,3194034
Sint Maarten (Dutch part),SXM,40812
St. Kitts and Nevis,KNA,53192
St. Lucia,LCA,183629
St. Martin (French part),MAF,38659
St. Vincent and the Grenadines,VCT,110947
Suriname,SUR,586634
Trinidad and Tobago,TTO,1399491
Turks and Caicos Islands,TCA,38718
Uruguay,URY,3473727
"Venezuela, RB",VEN,28435943
Virgin Islands (U.S.),VIR,106290
