CountryName,CountryCode,2020
Algeria,DZA,43851043
Angola,AGO,32866268
Bangladesh,BGD,164689383
Belize,BLZ,397621
Benin,BEN,12123198
Bhutan,BTN,771612
Bolivia,BOL,11673029
Cabo Verde,CPV,555988
Cambodia,KHM,16718971
Cameroon,CMR,26545864
Comoros,COM,869595
"Congo, Rep.",COG,5518092
Cote d'Ivoire,CIV,26378275
Djibouti,DJI,988002
"Egypt, Arab Rep.",EGY,102334403
El Salvador,SLV,6486201
Eswatini,SWZ,1160164
Ghana,GHA,31072945
Haiti,HTI,11402533
Honduras,HND,9904608
India,IND,1380004385
Indonesia,IDN,273523621
"Iran, Islamic Rep.",IRN,83992953
Kenya,KEN,53771300
Kiribati,KIR,119446
Kyrgyz Republic,KGZ,6591600
Lao PDR,LAO,7275556
Lesotho,LSO,2142252
Mauritania,MRT,4649660
"Micronesia, Fed. Sts.",FSM,115021
Mongolia,MNG,3278292
Morocco,MAR,36910558
Myanmar,MMR,54409794
Nepal,NPL,29136808
Nicaragua,NIC,6624554
Nigeria,NGA,206139587
Pakistan,PAK,220892331
Papua New Guinea,PNG,8947027
Philippines,PHL,109581085
Samoa,WSM,198410
Sao Tome and Principe,STP,219161
Senegal,SEN,16743930
Solomon Islands,SLB,686878
Sri Lanka,LKA,21919000
Tajikistan,TJK,9537642
Tanzania,TZA,59734213
Timor-Leste,TLS,1318442
Tunisia,TUN,11818618
Ukraine,UKR,44134693
Uzbekistan,UZB,34232050
Vanuatu,VUT,307150
Vietnam,VNM,97338583
West Bank and Gaza,PSE,4803269
Zambia,ZMB,18383956
Zimbabwe,ZWE,14862927
