CountryName,CountryCode,2020
Afghanistan,AFG,38928341
Burkina Faso,BFA,20903278
Burundi,BDI,11890781
Central African Republic,CAF,4829764
Chad,TCD,16425859
"Congo, Dem. Rep.",COD,89561404
Eritrea,ERI,..
Ethiopia,ETH,114963583
"Gambia, The",GMB,2416664
Guinea,GIN,13132792
Guinea-Bissau,GNB,1967998
"Korea, Dem. People's Rep.",PRK,25778815
Liberia,LBR,5057677
Madagascar,MDG,27691019
Malawi,MWI,19129955
Mali,MLI,20250834
Mozambique,MOZ,31255435
Niger,NER,24206636
Rwanda,RWA,12952209
Sierra Leone,SLE,7976985
Somalia,SOM,15893219
South Sudan,SSD,11193729
Sudan,SDN,43849269
Syrian Arab Republic,SYR,17500657
Togo,TGO,8278737
Uganda,UGA,45741000
"Yemen, Rep.",YEM,29825968
