CountryName,CountryCode,2020
Algeria,DZA,43851043
Bahrain,BHR,1701583
Djibouti,DJI,988002
"Egypt, Arab Rep.",EGY,102334403
"Iran, Islamic Rep.",IRN,83992953
Iraq,IRQ,40222503
Israel,ISR,9216900
Jordan,JOR,10203140
Kuwait,KWT,4270563
Lebanon,LBN,6825442
Libya,LBY,6871287
Malta,MLT,525285
Morocco,MAR,36910558
Oman,OMN,5106622
Qatar,QAT,2881060
Saudi Arabia,SAU,34813867
Syrian Arab Republic,SYR,17500657
Tunisia,TUN,11818618
United Arab Emirates,ARE,9890400
West Bank and Gaza,PSE,4803269
"Yemen, Rep.",YEM,29825968
