CountryName,CountryCode,2020
Angola,AGO,32866268
Benin,BEN,12123198
Botswana,BWA,2351625
Burkina Faso,BFA,20903278
Burundi,BDI,11890781
Cabo Verde,CPV,555988
Cameroon,CMR,26545864
Central African Republic,CAF,4829764
Chad,TCD,16425859
Comoros,COM,869595
"Congo, Dem. Rep.",COD,89561404
"Congo, Rep.",COG,5518092
Cote d'Ivoire,CIV,26378275
Equatorial Guinea,GNQ,1402985
Eritrea,ERI,..
Eswatini,SWZ,1160164
Ethiopia,ETH,114963583
Gabon,GAB,2225728
"Gambia, The",GMB,2416664
Ghana,GHA,31072945
Guinea,GIN,13132792
Guinea-Bissau,GNB,1967998
Kenya,KEN,53771300
Lesotho,LSO,2142252
Liberia,LBR,5057677
Madagascar,MDG,27691019
Malawi,MWI,19129955
Mali,MLI,20250834
Mauritania,MRT,4649660
Mauritius,MUS,1265740
Mozambique,MOZ,31255435
Namibia,NAM,2540916
Niger,NER,24206636
Nigeria,NGA,206139587
Rwanda,RWA,12952209
Sao Tome and Principe,STP,219161
Senegal,SEN,16743930
Seychelles,SYC,98462
Sierra Leone,SLE,7976985
Somalia,SOM,15893219
South Africa,ZAF,59308690
South Sudan,SSD,11193729
Sudan,SDN,43849269
Tanzania,TZA,59734213
Togo,TGO,8278737
Uganda,UGA,45741000
Zambia,ZMB,18383956
Zimbabwe,ZWE,14862927
