CountryName,CountryCode,2020
Albania,ALB,2837743
American Samoa,ASM,55197
Argentina,ARG,45376763
Armenia,ARM,2963234
Azerbaijan,AZE,10093121
Belarus,BLR,9379952
Bosnia and Herzegovina,BIH,3280815
Botswana,BWA,2351625
Brazil,BRA,212559409
Bulgaria,BGR,6934015
China,CHN,1410929362
Colombia,COL,50882884
Costa Rica,CRI,5094114
Cuba,CUB,11326616
Dominica,DMA,71991
Dominican Republic,DOM,10847904
Ecuador,ECU,17643060
Equatorial Guinea,GNQ,1402985
Fiji,FJI,896444
Gabon,GAB,2225728
Georgia,GEO,3714000
Grenada,GRD,112519
Guatemala,GTM,16858333
Guyana,GUY,786559
Iraq,IRQ,40222503
Jamaica,JAM,2961161
Jordan,JOR,10203140
Kazakhstan,KAZ,18754440
Kosovo,XKX,1775378
Lebanon,LBN,6825442
Libya,LBY,6871287
Malaysia,MYS,32365998
Maldives,MDV,540542
Marshall Islands,MHL,59194
Mauritius,MUS,1265740
Mexico,MEX,128932753
Moldova,MDA,2620495
Montenegro,MNE,621306
Namibia,NAM,2540916
North Macedonia,MKD,2072531
Panama,PAN,4314768
Paraguay,PRY,7132530
Peru,PER,32971846
Romania,ROU,19286123
Russian Federation,RUS,144104080
Serbia,SRB,6908224
South Africa,ZAF,59308690
St. Lucia,LCA,183629
St. Vincent and the Grenadines,VCT,110947
Suriname,SUR,586634
Thailand,THA,69799978
Tonga,TON,105697
Turkey,TUR,84339067
Turkmenistan,TKM,6031187
Tuvalu,TUV,11792
